Step,Overall_Compliance,Incentive_Budget_Remaining,Enforcement_Budget_Set,Education_Budget_Set,P_Catch_Set,Edu_Boost_Set,Poblacion Bacolod_Compliance,Liangan East_Compliance,Esperanza_Compliance,Binuni_Compliance,Demologan_Compliance,Mati_Compliance,Babalaya_Compliance
56,0.137,0.0,0,0,0.0,0.0,0.12442396313364056,0.23076923076923078,0.17777777777777778,0.12598425196850394,0.04878048780487805,0.0,0.0
57,0.127,0.0,0,0,0.0,0.0,0.12211981566820276,0.14685314685314685,0.17222222222222222,0.14960629921259844,0.04878048780487805,0.0,0.02702702702702703
58,0.134,0.0,0,0,0.0,0.0,0.12442396313364056,0.2097902097902098,0.17222222222222222,0.10236220472440945,0.14634146341463414,0.0,0.0
59,0.137,0.0,0,0,0.0,0.0,0.14055299539170507,0.15384615384615385,0.16666666666666666,0.16535433070866143,0.07317073170731707,0.0,0.0
60,0.146,0.0,0,0,0.0,0.0,0.1336405529953917,0.2097902097902098,0.15555555555555556,0.2125984251968504,0.07317073170731707,0.0,0.0
61,0.153,0.0,0,0,0.0,0.0,0.1382488479262673,0.23776223776223776,0.19444444444444445,0.14960629921259844,0.12195121951219512,0.0,0.0
62,0.149,0.0,0,0,0.0,0.0,0.1382488479262673,0.17482517482517482,0.20555555555555555,0.16535433070866143,0.14634146341463414,0.0,0.0
63,0.157,0.0,0,0,0.0,0.0,0.1497695852534562,0.20279720279720279,0.23333333333333334,0.11023622047244094,0.14634146341463414,0.0,0.02702702702702703
64,0.143,0.0,0,0,0.0,0.0,0.12672811059907835,0.1958041958041958,0.23333333333333334,0.11023622047244094,0.0975609756097561,0.0,0.0
65,0.141,0.0,0,0,0.0,0.0,0.12903225806451613,0.15384615384615385,0.2,0.16535433070866143,0.12195121951219512,0.0,0.02702702702702703
66,0.144,0.0,0,0,0.0,0.0,0.15207373271889402,0.14685314685314685,0.17777777777777778,0.15748031496062992,0.07317073170731707,0.0,0.05405405405405406
67,0.145,0.0,0,0,0.0,0.0,0.12672811059907835,0.1888111888111888,0.20555555555555555,0.15748031496062992,0.12195121951219512,0.0,0.02702702702702703
68,0.153,0.0,0,0,0.0,0.0,0.1336405529953917,0.23076923076923078,0.2111111111111111,0.14960629921259844,0.12195121951219512,0.0,0.0
69,0.153,0.0,0,0,0.0,0.0,0.1728110599078341,0.13986013986013987,0.19444444444444445,0.14960629921259844,0.0975609756097561,0.0,0.0
70,0.132,0.0,0,0,0.0,0.0,0.12442396313364056,0.13986013986013987,0.18888888888888888,0.16535433070866143,0.07317073170731707,0.0,0.0
71,0.156,0.0,0,0,0.0,0.0,0.14285714285714285,0.22377622377622378,0.22777777777777777,0.14960629921259844,0.04878048780487805,0.0,0.0
72,0.136,0.0,0,0,0.0,0.0,0.11981566820276497,0.1888111888111888,0.2111111111111111,0.10236220472440945,0.0975609756097561,0.02631578947368421,0.02702702702702703
73,0.148,0.0,0,0,0.0,0.0,0.1336405529953917,0.17482517482517482,0.2222222222222222,0.16535433070866143,0.0975609756097561,0.0,0.0
74,0.141,0.0,0,0,0.0,0.0,0.1382488479262673,0.16083916083916083,0.21666666666666667,0.13385826771653545,0.04878048780487805,0.0,0.0
75,0.135,0.0,0,0,0.0,0.0,0.12672811059907835,0.16083916083916083,0.2,0.14960629921259844,0.04878048780487805,0.0,0.0
76,0.147,0.0,0,0,0.0,0.0,0.1359447004608295,0.17482517482517482,0.2,0.18110236220472442,0.07317073170731707,0.02631578947368421,0.0
77,0.137,0.0,0,0,0.0,0.0,0.14285714285714285,0.23076923076923078,0.1111111111111111,0.14173228346456693,0.0975609756097561,0.0,0.0
78,0.146,0.0,0,0,0.0,0.0,0.14746543778801843,0.16783216783216784,0.16666666666666666,0.18110236220472442,0.12195121951219512,0.0,0.0
79,0.135,0.0,0,0,0.0,0.0,0.10368663594470046,0.17482517482517482,0.20555555555555555,0.13385826771653545,0.24390243902439024,0.0,0.02702702702702703
80,0.146,0.0,0,0,0.0,0.0,0.1382488479262673,0.21678321678321677,0.18888888888888888,0.14173228346456693,0.07317073170731707,0.0,0.0
81,0.144,0.0,0,0,0.0,0.0,0.1313364055299539,0.13986013986013987,0.21666666666666667,0.1968503937007874,0.07317073170731707,0.0,0.0
82,0.148,0.0,0,0,0.0,0.0,0.1336405529953917,0.16083916083916083,0.18888888888888888,0.23622047244094488,0.04878048780487805,0.02631578947368421,0.0
83,0.145,0.0,0,0,0.0,0.0,0.1382488479262673,0.13986013986013987,0.19444444444444445,0.18110236220472442,0.14634146341463414,0.02631578947368421,0.0
84,0.16,0.0,0,0,0.0,0.0,0.1336405529953917,0.2097902097902098,0.22777777777777777,0.1968503937007874,0.12195121951219512,0.0,0.02702702702702703
85,0.153,0.0,0,0,0.0,0.0,0.14746543778801843,0.23076923076923078,0.2111111111111111,0.12598425196850394,0.04878048780487805,0.0,0.0
86,0.145,0.0,0,0,0.0,0.0,0.1313364055299539,0.17482517482517482,0.20555555555555555,0.15748031496062992,0.14634146341463414,0.0,0.0
87,0.157,0.0,0,0,0.0,0.0,0.16359447004608296,0.23776223776223776,0.18333333333333332,0.12598425196850394,0.04878048780487805,0.02631578947368421,0.0
88,0.123,0.0,0,0,0.0,0.0,0.10829493087557604,0.16783216783216784,0.18333333333333332,0.11023622047244094,0.0975609756097561,0.0,0.02702702702702703
89,0.151,0.0,0,0,0.0,0.0,0.1382488479262673,0.2097902097902098,0.2111111111111111,0.16535433070866143,0.04878048780487805,0.0,0.0
90,0.151,0.0,0,0,0.0,0.0,0.14746543778801843,0.21678321678321677,0.19444444444444445,0.14173228346456693,0.07317073170731707,0.0,0.0
91,0.147,0.0,0,0,0.0,0.0,0.12903225806451613,0.24475524475524477,0.19444444444444445,0.14960629921259844,0.04878048780487805,0.0,0.0
92,0.148,0.0,0,0,0.0,0.0,0.12442396313364056,0.1888111888111888,0.21666666666666667,0.18110236220472442,0.0975609756097561,0.02631578947368421,0.0
